ID,source_paper,ref_paper
3833,1571347,1834007383
3834,1571347,1975099845
3835,1571347,1998782105
3836,1571347,2003028531
3837,1571347,2010604768
3838,1571347,2013420529
3839,1571347,2064250799
3840,1571347,2069855417
3841,1571347,2088527472
3863,1580920,1968865606
3864,1580920,1992826305
3865,1580920,2033254523
3866,1580920,2064729380
3867,1580920,2065111373
3868,1580920,2071122099
3869,1580920,2087529683
3870,1580920,2093337403
3985,1634676,1754002340
3986,1634676,1994069825
3987,1634676,2008958070
3988,1634676,2064440246
3989,1634676,2080007011
3990,1634676,2147483647
4054,1661365,1980800023
4055,1661365,2008403583
4056,1661365,2074057798
4057,1661365,2097548707
4058,1661365,2133996435
4059,1661365,2147483647
4175,1710031,369757293
4176,1710031,1974999136
4177,1710031,2047892611
4178,1710031,2096077734
4179,1710031,2119401948
4180,1710031,2147483647
4231,1731722,1973171540
4232,1731722,1989314662
4233,1731722,2003646783
4234,1731722,2053162975
4235,1731722,2090632954
4236,1731722,2109719349
4391,1803045,69607722
4392,1803045,586667164
4393,1803045,1554018745
4394,1803045,1970972705
4395,1803045,2073545186
4396,1803045,2083402998
4397,1803045,2117938783
4398,1803045,2147483647
4448,1830245,1964479168
4449,1830245,1981316476
4450,1830245,1997448991
4451,1830245,2057619603
4452,1830245,2069349617
4453,1830245,2069446052
4454,1830245,2124130904
4539,1865885,2053818267
4540,1865885,2078591745
4541,1865885,2083632015
4542,1865885,2103645493
4543,1865885,2116629370
4544,1865885,2131025189
4545,1865885,2147483647
4644,1898153,1032644371
4645,1898153,2001006042
4646,1898153,2005997790
4647,1898153,2059461386
4648,1898153,2144138595
4649,1898153,2147483647
4665,1906245,2000284230
4666,1906245,2037973912
4667,1906245,2088346425
4668,1906245,2091302187
4669,1906245,2091489938
4670,1906245,2094858695
5126,2127016,1991417133
5127,2127016,1998842728
5128,2127016,2002904469
5129,2127016,2052260397
5130,2127016,2101790701
5131,2127016,2108667668
5132,2127016,2134534294
5133,2127016,2147483647
